"Id","NA_L3CODE","X","Y"
174,"1.1.1",382701.211554035,9906455.57572987
175,"1.1.1",380746.907646001,9827921.91235
176,"1.1.1",442100.874810014,10159050.5859
177,"1.1.1",320554.968319999,9773520.99657
178,"1.1.1",279512.392870005,10221523.9825
179,"1.1.1",324124.054989001,9442906.4693
180,"1.1.1",321158.319047005,10251095.1581
181,"1.1.1",37773.8632747005,10043834.7735
182,"1.1.1",344297.959403002,10334320.5165
183,"1.1.1",245385.412983005,10161378.3498
184,"1.1.1",350119.166488003,10313819.9573
185,"1.1.1",282900.269643006,10148195.686
186,"1.1.1",84820.7951870091,9840615.34858985
187,"1.1.1",392905.224693,9674754.94473
188,"1.1.1",360446.984424,9447382.59528999
189,"1.1.1",215991.240269005,10160157.8594
190,"1.1.1",296617.756985003,10327747.251
191,"1.1.1",354444.453015,9780169.7017
192,"1.1.1",338404.336674011,10099093.4911
193,"1.1.1",395151.156066043,9881616.52856985
194,"1.1.1",394233.837030001,9431332.2372
195,"1.1.1",320873.872391027,9913496.27788989
196,"1.1.1",361460.857207002,10358398.2726
197,"1.1.1",260068.489731002,10301779.817
198,"1.1.1",227801.264125005,10138951.9799
199,"1.1.1",283214.789964003,10224185.8353
200,"1.1.1",326576.270381,9737049.51314
201,"1.1.2",602832.282037,9204473.79046999
202,"1.1.2",1204053.22415001,8827174.57804999
203,"1.1.2",999251.878460002,8921150.91716999
204,"1.1.2",1644750.14827009,8059213.20353983
205,"1.1.2",709470.463174999,9169614.13445
206,"1.1.2",670822.636306001,9201177.94206999
207,"1.1.2",1314706.63207001,8754553.52291998
208,"1.1.2",1307890.25053001,8807199.20864999
209,"1.1.2",1028504.29064001,8910957.81896999
210,"1.1.2",1202181.1239,8796106.54484999
211,"1.1.2",1632127.12134008,8104427.69535984
212,"1.1.2",1667571.24025008,8133572.12049985
213,"1.1.2",1367582.81637001,8769652.18878998
214,"1.1.2",952520.414725,9059657.69704999
215,"1.1.2",1635576.97663008,8104028.42694984
216,"1.1.2",1586502.68454007,8122489.35011985
217,"1.1.2",1008696.39662,8880534.13523999
218,"1.1.2",1152359.26102001,8861981.08213999
219,"1.1.2",1740543.74692013,7917393.66284974
220,"1.1.2",805610.500744999,9158349.73892
221,"1.1.2",639956.320770001,9151975.59806
222,"1.1.2",1063773.53027001,8906224.65450999
223,"1.1.2",1144654.45319001,8936294.87656999
224,"1.1.2",1354700.05002001,8817686.26137998
225,"1.1.2",819990.82364,9076111.04736
226,"1.1.2",543227.426516001,9268876.04011
227,"1.1.2",540105.888534999,9270223.89677
228,"1.1.2",1756344.48629012,8019366.20849979
229,"1.1.2",1715201.90436012,7992557.05891978
230,"1.1.2",1353644.80617001,8802274.73369998
231,"1.1.2",541819.394559001,9284006.89785
232,"1.1.2",1594300.81586007,8121133.23818985
233,"1.1.2",1342725.25803001,8795751.80413998
234,"1.1.2",1322311.41862001,8848771.60098999
235,"1.1.2",1056873.05185001,8893707.45771999
236,"1.1.2",1614999.43508008,8094861.93707984
237,"1.1.2",474197.841191999,9290056.39563
238,"1.1.2",683084.721835,9161891.38269
239,"1.1.2",1564066.83581007,8160588.60309987
240,"1.1.2",786339.956841997,9161299.79838
241,"1.1.2",986348.898954003,8985729.05003999
242,"1.1.2",1673734.95172011,8003665.5564098
243,"1.1.2",1686162.77524009,8083237.08109982
244,"1.1.2",1700797.6568901,8056627.10999981
245,"1.1.2",1228455.57647001,8812938.29674998
246,"1.1.2",624237.828587999,9174431.52107
247,"1.1.2",1279289.77401001,8874170.79775998
248,"1.1.2",1106985.49531,8871497.70756999
249,"1.1.2",1677621.02432009,8083335.05154983
250,"1.1.2",1171061.01144001,8907683.07501999
251,"1.1.2",1716435.55372011,7999201.13846979
252,"1.1.2",1345889.18639001,8754819.60072997
253,"1.1.2",1260938.59067001,8806236.08187998
254,"1.1.2",1709432.05415011,8015554.70368979
255,"1.1.2",1223074.49227001,8844503.68208998
256,"1.1.2",1196802.88817001,8881323.56248999
257,"1.1.2",1323408.24462001,8786176.02357998
258,"1.1.2",477792.102936001,9324646.67620999
259,"1.1.2",896091.648395002,9080971.63500999
260,"1.1.2",1707459.44807011,7997883.53432979
261,"1.1.2",761612.367645001,9116589.27583
262,"1.1.2",1207320.43083001,8862483.10711998
263,"1.1.2",1038445.18844,8891458.99973999
264,"1.1.2",983083.012672003,9010351.08372999
265,"1.1.2",1297448.95614001,8869153.61533999
266,"1.1.2",1021348.1093,8878063.11229999
267,"1.1.2",1132041.86881,8882231.06834999
268,"1.1.2",986304.860376001,9099827.25280999
269,"1.1.2",949660.473599001,9034795.35041
270,"1.1.2",1189461.18168001,8859723.68870999
271,"1.1.2",1733553.66107012,7959826.57278977
272,"1.1.2",1145737.60102001,8822888.54114999
273,"1.1.2",1656970.41633009,8041358.27574982
274,"1.1.2",1348058.94932001,8777095.07441998
275,"1.1.2",722075.57805,9120614.66555
276,"1.1.2",533103.498454001,9306159.67361
277,"1.1.2",1038175.65887,9015325.33100999
278,"1.1.2",795209.111896999,9101084.87915
279,"1.1.2",1749897.12832013,7959353.67465976
280,"1.1.2",1030408.00619,8899401.45050999
281,"1.1.2",1612106.30048007,8161528.60564986
282,"1.1.2",608897.948112001,9176500.30713
283,"1.1.2",1266400.73678001,8778106.14060998
284,"1.1.2",1208330.88086001,8803132.78907998
285,"1.1.2",652733.853182,9198150.91531
286,"1.1.2",593874.163866001,9239838.23499
287,"1.1.2",1379934.67813001,8768509.95172998
288,"1.1.2",684255.253833,9189084.40489
289,"1.1.2",1674503.63058009,8070406.32959982
290,"1.1.2",1364757.23429001,8791753.84834998
291,"1.1.2",982408.029198002,8986672.66138999
292,"1.1.2",1220710.92779001,8808645.11248998
293,"1.1.2",1121017.64531,8916898.97760999
294,"1.1.2",1592160.43657008,8119940.81821986
295,"1.1.2",1163065.91836001,8875392.33410999
296,"1.1.2",1370246.22173001,8800077.00143998
297,"1.1.2",1734023.95034011,8027418.7884198
298,"1.1.2",1027803.04565,9038727.06156999
299,"1.1.2",1179285.48507001,8889445.02489998
300,"1.1.2",1138411.56921001,8831968.50307998
301,"10.1.1",-1657803.81486043,7090528.30123898
302,"10.1.1",-1662524.11991047,6982699.76921878
303,"10.1.1",-1744817.80207055,6975206.07390873
304,"10.1.1",-1805293.44869046,7171991.66449903
305,"10.1.1",-1687649.20345033,7229636.34244915
306,"10.1.1",-1717012.25657051,6954924.9666887
307,"10.1.1",-1642530.05561045,7001380.28465883
308,"10.1.1",-1798477.03607052,7005266.20127874
309,"10.1.1",-1739736.77949045,7038680.58724882
310,"10.1.1",-1827204.99812055,7048702.83657881
311,"10.1.1",-1692889.61085042,7123991.16132901
312,"10.1.1",-1833550.85802047,7094609.17221887
313,"10.1.1",-1781874.28088044,7137934.58406897
314,"10.1.1",-1814639.25903056,6996147.58986871
315,"10.1.1",-1794129.91567049,7032070.42335878
316,"10.1.1",-1689898.30085036,7177510.89391908
317,"10.1.1",-1689522.9106605,6994663.3120288
318,"10.1.1",-1660059.43476044,7056939.23220892
319,"10.1.1",-1712082.1090404,7129171.344399
320,"10.1.1",-1699299.20603041,7173345.46608909
321,"10.1.1",-1781215.8307005,7066907.84267887
322,"10.1.1",-1763164.88030055,6986883.26878874
323,"10.1.1",-1733185.40474047,7049479.88751886
324,"10.1.1",-1791932.81929049,7060370.57210884
325,"10.1.1",-1693033.14037041,7086936.01427894
326,"10.1.1",-1671158.44609036,7232797.34587918
327,"10.1.1",-1682947.01304045,7012738.30952882
328,"10.1.1",-1676782.53262052,6976008.14072877
329,"10.1.1",-1813198.98225047,7166906.49690901
330,"10.1.1",-1806748.6915604,7205717.80117905
331,"10.1.1",-1752173.06699043,7110074.08413894
332,"10.1.1",-1709402.78608055,6948875.7431087
333,"10.1.1",-1741543.99753041,7155199.96061903
334,"10.1.1",-1669043.56772038,7108000.96757898
335,"10.1.1",-1665317.79450048,7015456.10310885
336,"10.1.1",-1877727.32040045,7157650.96620894
337,"10.1.1",-1678497.90382047,7010235.72045882
338,"10.1.1",-1787852.27664048,7080062.48762888
339,"10.1.1",-1691745.66901041,7089946.21609895
340,"10.1.1",-1688066.86180048,6983179.19387876
341,"10.1.1",-1830740.30859042,7189432.07449902
342,"10.1.1",-1808546.18960043,7225862.9317691
343,"10.1.1",-1758955.64762051,6997868.88758875
344,"10.1.1",-1682020.69607048,6963318.33124873
345,"10.1.1",-1771048.38727046,7126470.20029897
346,"10.1.1",-1857527.3913905,7100745.75387887
347,"10.1.1",-1808397.6504705,7071274.43200886
348,"10.1.1",-1880460.09820044,7186035.20451898
349,"10.1.1",-1667787.97186052,6906154.05509864
350,"10.1.1",-1826339.55063047,7080012.71081884
351,"10.1.1",-1727865.45082052,6943342.51055866
352,"10.1.1",-1707582.0425404,7207244.91540913
353,"10.1.1",-1675693.70998034,7234737.06919917
354,"10.1.1",-1745667.58709043,7173492.39793906
355,"10.1.1",-1721464.01936053,6954113.5999187
356,"10.1.1",-1693602.60333055,6917000.89686865
357,"10.1.1",-1654233.78493037,7107065.86584899
